Document Name,Document Type,Scan Date,Uploaded By,Document ID,Invoice Number,Invoice Date,Submitted Date,Supplier Name,Supplier No,Buyer Name,Exceptions,Reject Reason,Cost Center,Currency,Gross Amount,GST/ABN/ACRA,PO Number,Status,Sync Status,Remarks
SoniaTESTFILE.pdf,,20/05/2022,sodexo.india@checkaninvoice.com,218626235,,,20/05/2022,,,Not available,,,,,,,,Under Process,,
55606_Rizwan_Testfile_Rejected.pdf,,,,218501300,,,,,,Not available,,,,,,,,Under Process,,
55606_Rizwan_Testfile_Rejected.pdf,Credit Note,,,218488777,0000161965,30/09/2019,,Agro Mech Industries,VND000004,Sodexo India Services Private Limited,,,,INR,1500.00,36AAGFA2219K1ZL,,Processed,Successfully Exported,
No Line items with tax total.pdf,Invoice,19/05/2022,sodexo.india@checkaninvoice.com,217203309,1077939000,03/07/2022,12/05/2022,Sri Sai Bharat Gas Agency,VND000090,Sodexo India Services Private Limited,,,,USD,61.23,33ADFPR4594J1Z4,PUR1234567,Exceptions Approved,Successfully Exported,edit
No Line items with tax total.pdf,Credit Note,12/05/2022,sodexo.india@checkaninvoice.com,217196263,10779390,03/07/2022,12/05/2022,ProStar Services Inc DBA Parks Coffee,,Sodexo India Services Private Limited,,,,USD,61.23,,26063,Processed,Not synced,
No Line items with tax total.pdf,Invoice,12/05/2022,sodexo.india@checkaninvoice.com,217195570,10779390,03/07/2022,12/05/2022,PEERLESS HOSPITEX HOSPITAL AND RESEARCH CENTRE LIMITED,VND007473,Sodexo India Services Private Limited,,,41040601,USD,61.23,19AABCP7225L1Z3,26063,Exceptions Approved,Successfully Exported,
55606_Rizwan_Testfile.pdf,Invoice,19/05/2022,,217176697,0000161965,30/09/2019,,Agro Mech Industries,VND000004,Sodexo India Services Private Limited,,,,AUD,1500.00,36AAGFA2219K1ZL,,Exceptions Approved,,
55606_Rizwan_Testfile.pdf,,,,1,,,,,,Not available,,,,,,,,Under Process,,
55606_Rizwan_Testfile.pdf,,,,1,,,,,,Not available,,,,,,,,Under Process,,
No Line items with tax total.pdf,Invoice,13/04/2022,sodexo.india@checkaninvoice.com,216610271,10779390,03/07/2022,13/04/2022,ProStar Services Inc,,STUART HOSE AND PIPE COMPANY,,,,USD,61.23,,,Supplier Approval Pending,,
No Line items without tax total.pdf,Invoice,13/04/2022,sodexo.india@checkaninvoice.com,216610237,10780655,03/07/2022,13/04/2022,ProStar Services Inc DBA Parks Coffee,,STUART HOSE AND PIPE COMPANY,,The invoice was rejected because the supplier was not approved by Pankaj.,,USD,230.87,,,Rejected,,
No Line items without tax rate.pdf,,13/04/2022,sodexo.india@checkaninvoice.com,216610195,,,13/04/2022,,,Not available,,,,,,,,Under Process,,
No Line items with tax rate.pdf,Invoice,13/04/2022,sodexo.india@checkaninvoice.com,216610138,111048,20/03/2022,13/04/2022,Arista Consulting LLC,,SI-BONE  Inc.,,,,USD,2280.00,,6121,Supplier Approval Pending,,
